http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,Access To Services,Education Skills And Training,Employment,Health,Housing,Income,SIMD
http://statistics.gov.scot/id/statistical-geography/S01003255,S01003255,4915,2184,2109,1065,587,1434,1637
http://statistics.gov.scot/id/statistical-geography/S01003256,S01003256,5223,1105,254,352,257,101,228
http://statistics.gov.scot/id/statistical-geography/S01003257,S01003257,1138,3345,4029,3466,1019,2073,2709
http://statistics.gov.scot/id/statistical-geography/S01003258,S01003258,4419,2913,3061,3510,2188,4111,3727
http://statistics.gov.scot/id/statistical-geography/S01003259,S01003259,3973,2987,2818,2404,1588,2876,2909
http://statistics.gov.scot/id/statistical-geography/S01003260,S01003260,4950,4651,2846,3426,5040,4464,4262
http://statistics.gov.scot/id/statistical-geography/S01003261,S01003261,4494,4790,3460,3971,4884,4905,4748
http://statistics.gov.scot/id/statistical-geography/S01003262,S01003262,5476,1240,342,223,127,401,367
http://statistics.gov.scot/id/statistical-geography/S01003263,S01003263,4418,144,206,252,1035,70,134
http://statistics.gov.scot/id/statistical-geography/S01003264,S01003264,6143,2619,1183,1120,1296,2258,1740
http://statistics.gov.scot/id/statistical-geography/S01003265,S01003265,6348,3885,2576,871,1065,2431,2413
http://statistics.gov.scot/id/statistical-geography/S01003266,S01003266,5245,1629,551,435,1530,1076,801
http://statistics.gov.scot/id/statistical-geography/S01003267,S01003267,6241,1512,836,491,662,848,831
http://statistics.gov.scot/id/statistical-geography/S01003268,S01003268,5899,872,1539,992,1355,1149,1229
http://statistics.gov.scot/id/statistical-geography/S01003269,S01003269,6269,1103,615,544,308,545,595
http://statistics.gov.scot/id/statistical-geography/S01003270,S01003270,6176,104,692,554,351,525,437
http://statistics.gov.scot/id/statistical-geography/S01003271,S01003271,4577,430,549,273,332,1133,553
http://statistics.gov.scot/id/statistical-geography/S01003272,S01003272,3700,19,42,45,247,39,16
http://statistics.gov.scot/id/statistical-geography/S01003273,S01003273,5511,429,19,118,405,78,74
http://statistics.gov.scot/id/statistical-geography/S01003274,S01003274,2563,77,7,17,71,98,9
http://statistics.gov.scot/id/statistical-geography/S01003275,S01003275,5816,1221,262,841,859,1004,645
http://statistics.gov.scot/id/statistical-geography/S01003276,S01003276,5057,3833,4821,4174,5145,5757,5482
http://statistics.gov.scot/id/statistical-geography/S01003277,S01003277,4957,2020,1059,1348,319,1284,1228
http://statistics.gov.scot/id/statistical-geography/S01003278,S01003278,5875,2570,2377,1819,1191,3069,2671
http://statistics.gov.scot/id/statistical-geography/S01003279,S01003279,3706,18,100,60,27,2,8
http://statistics.gov.scot/id/statistical-geography/S01003280,S01003280,4438,4247,2500,2123,1340,2630,2821
http://statistics.gov.scot/id/statistical-geography/S01003281,S01003281,6019,431,522,187,401,347,347
http://statistics.gov.scot/id/statistical-geography/S01003282,S01003282,6227,4981,3659,3221,2041,3799,4279
http://statistics.gov.scot/id/statistical-geography/S01003283,S01003283,6050,3038,3383,4215,1256,3655,3846
http://statistics.gov.scot/id/statistical-geography/S01003284,S01003284,5825,1635,850,510,315,1337,977
http://statistics.gov.scot/id/statistical-geography/S01003285,S01003285,5286,153,321,98,565,251,197
http://statistics.gov.scot/id/statistical-geography/S01003286,S01003286,2046,2160,545,426,491,750,620
http://statistics.gov.scot/id/statistical-geography/S01003287,S01003287,6107,443,971,541,1910,110,416
http://statistics.gov.scot/id/statistical-geography/S01003288,S01003288,5340,4550,4345,4626,3752,5263,5315
http://statistics.gov.scot/id/statistical-geography/S01003289,S01003289,4850,271,315,329,579,240,250
http://statistics.gov.scot/id/statistical-geography/S01003290,S01003290,6217,1886,1131,650,372,1580,1224
http://statistics.gov.scot/id/statistical-geography/S01003291,S01003291,5077,414,131,437,813,398,269
http://statistics.gov.scot/id/statistical-geography/S01003292,S01003292,5920,2342,3352,3408,2219,3785,3703
http://statistics.gov.scot/id/statistical-geography/S01003293,S01003293,6390,307,91,153,483,138,131
http://statistics.gov.scot/id/statistical-geography/S01003294,S01003294,6139,1926,439,494,637,1380,829
http://statistics.gov.scot/id/statistical-geography/S01003295,S01003295,5016,2749,3142,3392,4911,2911,3503
http://statistics.gov.scot/id/statistical-geography/S01003296,S01003296,6357,134,54,35,224,16,26
http://statistics.gov.scot/id/statistical-geography/S01003297,S01003297,4425,142,69,27,423,263,101
http://statistics.gov.scot/id/statistical-geography/S01003298,S01003298,6034,3084,3616,2250,1125,3443,3471
http://statistics.gov.scot/id/statistical-geography/S01003299,S01003299,5720,66,55,61,153,28,25
http://statistics.gov.scot/id/statistical-geography/S01003300,S01003300,6126,1668,2278,2119,665,2487,2260
http://statistics.gov.scot/id/statistical-geography/S01003301,S01003301,5111,1045,511,250,337,252,372
http://statistics.gov.scot/id/statistical-geography/S01003302,S01003302,3844,30,25,13,85,69,7
http://statistics.gov.scot/id/statistical-geography/S01003303,S01003303,3579,545,894,138,731,1238,649
http://statistics.gov.scot/id/statistical-geography/S01003304,S01003304,5683,2658,2037,1737,62,1579,1721
http://statistics.gov.scot/id/statistical-geography/S01003305,S01003305,5062,2035,3676,1868,1058,4047,3252
http://statistics.gov.scot/id/statistical-geography/S01003306,S01003306,5131,1233,761,640,356,1191,869
http://statistics.gov.scot/id/statistical-geography/S01003307,S01003307,5320,1446,288,370,303,541,449
http://statistics.gov.scot/id/statistical-geography/S01003308,S01003308,2507,457,514,731,926,647,524
http://statistics.gov.scot/id/statistical-geography/S01003309,S01003309,6161,302,34,154,645,87,90
http://statistics.gov.scot/id/statistical-geography/S01003310,S01003310,5408,2718,1335,809,640,1585,1466
http://statistics.gov.scot/id/statistical-geography/S01003311,S01003311,5790,2929,3521,3632,1580,5086,4258
http://statistics.gov.scot/id/statistical-geography/S01003312,S01003312,5700,173,344,601,499,192,257
http://statistics.gov.scot/id/statistical-geography/S01003313,S01003313,5557,238,1,3,256,33,18
http://statistics.gov.scot/id/statistical-geography/S01003314,S01003314,6236,382,43,55,307,168,102
http://statistics.gov.scot/id/statistical-geography/S01003315,S01003315,4665,1621,3717,1706,894,1449,2104
http://statistics.gov.scot/id/statistical-geography/S01003316,S01003316,6504,355,1181,549,209,570,623
http://statistics.gov.scot/id/statistical-geography/S01003317,S01003317,3300,1054,2834,2584,1524,3273,2534
http://statistics.gov.scot/id/statistical-geography/S01003318,S01003318,5084,2788,3267,2330,3582,3378,3450
http://statistics.gov.scot/id/statistical-geography/S01003319,S01003319,6289,6,168,50,24,23,32
http://statistics.gov.scot/id/statistical-geography/S01003320,S01003320,5694,1330,2824,1318,93,1358,1594
http://statistics.gov.scot/id/statistical-geography/S01003321,S01003321,5205,3107,2218,3287,5294,2916,3157
http://statistics.gov.scot/id/statistical-geography/S01003322,S01003322,6255,540,822,296,10,1111,616
http://statistics.gov.scot/id/statistical-geography/S01003323,S01003323,4627,3794,4272,3573,1438,4131,4283
http://statistics.gov.scot/id/statistical-geography/S01003324,S01003324,5253,532,162,71,57,434,205
http://statistics.gov.scot/id/statistical-geography/S01003325,S01003325,6237,2666,4076,2642,995,3673,3692
http://statistics.gov.scot/id/statistical-geography/S01003326,S01003326,4310,1142,851,509,956,797,759
http://statistics.gov.scot/id/statistical-geography/S01003327,S01003327,5450,565,968,461,294,548,597
http://statistics.gov.scot/id/statistical-geography/S01003328,S01003328,1837,902,1966,527,506,2312,1293
http://statistics.gov.scot/id/statistical-geography/S01003329,S01003329,5862,1502,1056,1130,1054,1577,1332
http://statistics.gov.scot/id/statistical-geography/S01003330,S01003330,3074,3621,4658,6028,4677,4849,5120
http://statistics.gov.scot/id/statistical-geography/S01003331,S01003331,4560,282,26,117,1127,96,83
http://statistics.gov.scot/id/statistical-geography/S01003332,S01003332,3853,360,372,344,102,247,249
http://statistics.gov.scot/id/statistical-geography/S01003333,S01003333,4129,407,2,5,873,95,51
http://statistics.gov.scot/id/statistical-geography/S01003334,S01003334,4689,300,506,456,604,724,493
http://statistics.gov.scot/id/statistical-geography/S01003335,S01003335,1704,1276,839,229,621,1182,685
http://statistics.gov.scot/id/statistical-geography/S01003336,S01003336,3520,525,74,132,729,314,174
http://statistics.gov.scot/id/statistical-geography/S01003337,S01003337,4106,98,44,54,178,97,43
http://statistics.gov.scot/id/statistical-geography/S01003338,S01003338,4169,1402,1464,538,603,1334,1150
http://statistics.gov.scot/id/statistical-geography/S01003339,S01003339,4387,1665,2344,1970,446,2360,2081
http://statistics.gov.scot/id/statistical-geography/S01003340,S01003340,4686,1336,521,322,982,903,657
http://statistics.gov.scot/id/statistical-geography/S01003341,S01003341,4669,2375,4108,4590,3287,4820,4502
http://statistics.gov.scot/id/statistical-geography/S01003342,S01003342,4570,7,57,12,69,80,22
http://statistics.gov.scot/id/statistical-geography/S01003343,S01003343,3796,47,210,134,139,40,67
http://statistics.gov.scot/id/statistical-geography/S01003344,S01003344,2129,402,944,808,571,222,427
http://statistics.gov.scot/id/statistical-geography/S01003345,S01003345,5054,1736,2020,2243,716,2326,2113
http://statistics.gov.scot/id/statistical-geography/S01003346,S01003346,6075,505,420,430,819,626,497
http://statistics.gov.scot/id/statistical-geography/S01003347,S01003347,5148,41,30,37,175,107,31
http://statistics.gov.scot/id/statistical-geography/S01003348,S01003348,2879,634,3189,1100,1234,1716,1628
http://statistics.gov.scot/id/statistical-geography/S01003349,S01003349,6049,123,96,85,426,51,63
http://statistics.gov.scot/id/statistical-geography/S01003350,S01003350,2021,464,412,466,488,261,296
http://statistics.gov.scot/id/statistical-geography/S01003351,S01003351,5989,388,345,163,54,338,254
http://statistics.gov.scot/id/statistical-geography/S01003352,S01003352,5460,720,243,276,231,309,287
http://statistics.gov.scot/id/statistical-geography/S01003353,S01003353,6097,212,105,100,282,201,129
http://statistics.gov.scot/id/statistical-geography/S01003354,S01003354,4225,445,58,191,511,353,175
http://statistics.gov.scot/id/statistical-geography/S01003355,S01003355,5451,277,960,760,921,814,690
http://statistics.gov.scot/id/statistical-geography/S01003356,S01003356,6355,184,319,361,335,260,245
http://statistics.gov.scot/id/statistical-geography/S01003357,S01003357,6481,20,53,8,197,35,17
http://statistics.gov.scot/id/statistical-geography/S01003358,S01003358,2371,1614,1607,269,378,1941,1149
http://statistics.gov.scot/id/statistical-geography/S01003359,S01003359,2452,2964,4824,4518,4200,5294,4800
http://statistics.gov.scot/id/statistical-geography/S01003360,S01003360,2983,1378,1610,997,1627,1460,1386
http://statistics.gov.scot/id/statistical-geography/S01003361,S01003361,3311,135,200,297,581,756,285
http://statistics.gov.scot/id/statistical-geography/S01003362,S01003362,1295,421,840,403,856,700,528
http://statistics.gov.scot/id/statistical-geography/S01003363,S01003363,3640,298,418,722,1169,859,537
http://statistics.gov.scot/id/statistical-geography/S01003364,S01003364,6280,237,13,29,182,76,39
http://statistics.gov.scot/id/statistical-geography/S01003365,S01003365,6366,124,394,364,309,244,242
http://statistics.gov.scot/id/statistical-geography/S01003366,S01003366,1658,2821,4341,1996,237,3653,2903
http://statistics.gov.scot/id/statistical-geography/S01003367,S01003367,5754,76,27,33,269,73,29
http://statistics.gov.scot/id/statistical-geography/S01003368,S01003368,1060,2123,5872,303,184,4793,2383
http://statistics.gov.scot/id/statistical-geography/S01003369,S01003369,4498,1409,117,171,898,539,313
http://statistics.gov.scot/id/statistical-geography/S01003370,S01003370,6452,2033,3776,956,170,2863,2432
http://statistics.gov.scot/id/statistical-geography/S01003371,S01003371,6391,1657,1284,940,74,1888,1335
http://statistics.gov.scot/id/statistical-geography/S01003372,S01003372,3979,240,364,800,1045,287,334
http://statistics.gov.scot/id/statistical-geography/S01003373,S01003373,4381,156,46,88,484,293,110
http://statistics.gov.scot/id/statistical-geography/S01003374,S01003374,2779,100,281,377,1025,81,149
http://statistics.gov.scot/id/statistical-geography/S01003375,S01003375,4161,1416,1005,703,460,1708,1136
http://statistics.gov.scot/id/statistical-geography/S01003376,S01003376,3340,171,325,315,110,135,171
http://statistics.gov.scot/id/statistical-geography/S01003377,S01003377,3325,1065,479,481,503,798,581
http://statistics.gov.scot/id/statistical-geography/S01003378,S01003378,6231,32,258,31,193,258,132
http://statistics.gov.scot/id/statistical-geography/S01003379,S01003379,2341,3,31,58,5,26,1
http://statistics.gov.scot/id/statistical-geography/S01003380,S01003380,6259,1287,1603,950,366,1548,1380
http://statistics.gov.scot/id/statistical-geography/S01003381,S01003381,2836,1252,1267,610,379,1929,1157
http://statistics.gov.scot/id/statistical-geography/S01003382,S01003382,2052,410,495,16,487,672,307
http://statistics.gov.scot/id/statistical-geography/S01003383,S01003383,4646,1001,809,627,983,1127,880
http://statistics.gov.scot/id/statistical-geography/S01003384,S01003384,6159,1178,749,341,1422,1018,810
http://statistics.gov.scot/id/statistical-geography/S01003385,S01003385,6367,1115,2806,2332,227,2707,2267
http://statistics.gov.scot/id/statistical-geography/S01003386,S01003386,4576,261,426,371,457,869,458
http://statistics.gov.scot/id/statistical-geography/S01003387,S01003387,6380,394,714,409,60,411,428
http://statistics.gov.scot/id/statistical-geography/S01003388,S01003388,5213,274,101,34,326,250,126
http://statistics.gov.scot/id/statistical-geography/S01003389,S01003389,6503,61,351,325,61,170,178
http://statistics.gov.scot/id/statistical-geography/S01003390,S01003390,3274,12,116,42,177,93,44
http://statistics.gov.scot/id/statistical-geography/S01003391,S01003391,4734,234,490,397,538,457,378
http://statistics.gov.scot/id/statistical-geography/S01003392,S01003392,6349,1091,1333,679,183,1486,1137
http://statistics.gov.scot/id/statistical-geography/S01003393,S01003393,5757,1645,412,306,797,600,556
http://statistics.gov.scot/id/statistical-geography/S01003394,S01003394,1711,170,1370,255,46,564,423
